type,basisOfRecord,institutionCode,collectionCode,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,eventDate,year,month,day,country,stateProvince,municipality,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,identifiedBy,dateIdentified,typeStatus,scientifname,kingdom,phylum,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,modified,occurrenceID_GBIF,rightsHolder
Collection,PreservedSpecimen,RB,RB,299388,"Erva, 1,5 - 2m altura. Inflorescência branca.",495,P.H. Miyagi,15/02/1995,1995,2,15,Brasil,São Paulo,São Miguel Arcanjo,"Reserva Floresta Carlos Botelho, a 2 km da ""sedinha"". .",NA,NA,NA,NA,E. Guimarães,Sep-98,,Piper dilatatum Rich.,Plantae,NA,PIPERACEAE,Piper,dilatatum,,specie,Rich.,08/07/2014,urn:catalog:RB:299388,RB
Collection,PreservedSpecimen,RB,RB,308319,"Arvoreta, ca. 5m alt., sub-bosque, com botões brancos, tronco sem escamas.",908,P.L.R. de Moraes,21/04/1994,1994,4,21,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,M.Sobral,2005,,Eugenia platysema O.Berg,Plantae,NA,MYRTACEAE,Eugenia,platysema,,specie,O.Berg,22/07/2014,urn:catalog:RB:308319,RB
Collection,PreservedSpecimen,RB,RB,823131,"Epífita de 80 cm, a 1,0m de altura no hospedeiro. Folha suculenta. Cálice vinho, corola amarela com ápice listrado de negro, inclusive aos lobos.;",64,S. Bortoleto et. al.;,21/04/2002,2002,4,21,Brasil,São Paulo,Sete Barras,"Parque Estadual carlos Botelho, Núcleo Sete barras. Estrada Estadual São Miguel Arcanjo/Sete barras. .",NA,NA,-24.1333333,-47.9833333,A.O. Araujo,25/04/2002,,Nematanthus striatus (Handro) Chautems,Plantae,NA,GESNERIACEAE,Nematanthus,striatus,,specie,(Handro) Chautems,08/07/2014,urn:catalog:RB:823131,RB
Collection,PreservedSpecimen,RB,RB,128813,"arv. ca 20 m de alt, trilha cipó, frutos maduros amarelos",1257,Pedro L.R. de Moraes,11/02/1996,1996,2,11,Brasil,São Paulo,São Miguel Arcanjo,pq Estadual Carlos Botelho.,NA,NA,NA,NA,Pedro L.R.de Moraes,03/02/2009,paratype,Cryptocarya botelhensis P.L.R.Moraes,Plantae,NA,LAURACEAE,Cryptocarya,botelhensis,,specie,P.L.R.Moraes,22/07/2014,urn:catalog:RB:128813,RB
Collection,PreservedSpecimen,RB,RB,158647,,146,Pedro L.R. de Moraes,20/06/1990,1990,6,20,Brasil,São Paulo,São Miguel Arcanjo,Parque Estyadual Carlos Botelho.,NA,NA,NA,NA,Michel Barros,20/01/2011,,Senegalia grandistipula (Benth.) Seigler & Ebinger,Plantae,NA,LEGUMINOSAE,Senegalia,grandistipula,,specie,(Benth.) Seigler & Ebinger,08/07/2014,urn:catalog:RB:158647,RB
Collection,PreservedSpecimen,RB,RB,654073,"Arbusto de 4-4m de altura, com frutos verdes. ",477,"Moraes, Pedro Luiz R. de",30/07/1991,1991,7,30,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,G.M. Barroso & C. Proença,1992,,Marlierea subacuminata Kiaersk.,Plantae,NA,MYRTACEAE,Marlierea,subacuminata,,specie,Kiaersk.,07/07/2014,urn:catalog:RB:654073,RB
Collection,PreservedSpecimen,RB,RB,857183,Arbusto. Frutos imaturos verdes e maduros violeta,537,R.G. Udulutsch et. al.;,19/04/2002,2002,4,19,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho; Núcleo S.M. Arcanjo.,NA,NA,-24.05,-47.9833333,,,,Leandra,Plantae,NA,MELASTOMATACEAE,Leandra,,,genus,,26/06/2014,urn:catalog:RB:857183,RB
Collection,PreservedSpecimen,RB,RB,221965,"Arvoreta ca. 3m alt., sub-bosque , frutos verdes.",1119,Pedro L.R. de Morães,18/01/1995,1995,1,18,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,A.L.Peixoto,1999,,Mollinedia schottiana (Spreng.) Perkins,Plantae,NA,MONIMIACEAE,Mollinedia,schottiana,,specie,(Spreng.) Perkins,22/07/2014,urn:catalog:RB:221965,RB
Collection,PreservedSpecimen,RB,RB,333127,"Árvore cerca de 15 m alt., inflorescência branca com centro amarelo (cacho).",57,M.Stella,22/05/1977,1977,5,22,Brasil,São Paulo,,"55 km ao sul de Itapetininga, Reserva São Carlos Botelho.",NA,NA,NA,NA,C.Y.Kiyama,24/09/1996,,Prunus myrtifolia (L.) Urb.,Plantae,NA,ROSACEAE,Prunus,myrtifolia,,specie,(L.) Urb.,22/07/2014,urn:catalog:RB:333127,RB
Collection,PreservedSpecimen,RB,RB,311113,"Ca. 8m, frutos verdes.",955,P.L.R. Morais,23/04/1994,1994,4,23,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,L.D. Meireles,11/09/2014,,Myrceugenia scutellata D.Legrand,Plantae,NA,MYRTACEAE,Myrceugenia,scutellata,,specie,D.Legrand,18/09/2014,urn:catalog:RB:311113,RB
Collection,PreservedSpecimen,RB,RB,383370,"Arvoreta de 3m, flores vermelhas",6868,G.T.Prance,18/01/1978,1978,1,18,Brasil,São Paulo,,"Reserva Carlos Botelho, entre S. Miguel Arcanjo e Sete Barras.",NA,NA,NA,NA,J.R.Pirani,1998,,Picramnia gardneri Planch.,Plantae,NA,SIMAROUBACEAE,Picramnia,gardneri,,specie,Planch.,19/10/2017,urn:catalog:RB:383370,RB
Collection,PreservedSpecimen,RB,RB,242802,"ARBUSTO DE 1,3 M. FRUTOS AZUIS",,G.T.PRANCE,31/01/1978,1978,1,31,Brasil,São Paulo,,"RES. CARLOS BOTELHO, ENTRE S. MIGUEL ARCANJO E SETE BARRAS.",NA,NA,NA,NA,"J.F.A.Baungratz, M.L.Souza ",Oct-07,,Leandra gracilis Cogn.,Plantae,NA,MELASTOMATACEAE,Leandra,gracilis,,specie,Cogn.,13/10/2017,urn:catalog:RB:242802,RB
Collection,PreservedSpecimen,RB,RB,840651,"Arvoreta de +- 5m de altura, estrada de serviço",209,P.L.R. de Moraes,27/07/1990,1990,7,27,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,F.C.P. Garcia,Mar-99,,Inga lenticellata Benth.,Plantae,NA,LEGUMINOSAE,Inga,lenticellata,,specie,Benth.,08/07/2014,urn:catalog:RB:840651,RB
Collection,PreservedSpecimen,RB,RB,831294,"Flores amarelas, beira de estrada",1192,P.L.R. de Moraes,02/03/1995,1995,3,2,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,L.G. ROSIGNOLI-OLIVEIRA,20/03/2017,,Senna multijuga (Rich.) H.S.Irwin & Barneby,Plantae,NA,LEGUMINOSAE,Senna,multijuga,,specie,(Rich.) H.S.Irwin & Barneby,24/04/2017,urn:catalog:RB:831294,RB
Collection,PreservedSpecimen,RB,RB,613414,Arvoreta.,105,A.C.Dias,14/12/1987,1987,12,14,Brasil,São Paulo,São Miguel Arcanjo,"P.E.Carlos Botelho , à margem da estrada e em locais abertos.",NA,NA,NA,NA,S.A.C.Chiea,19/03/1988,,Miconia theaezans (Bonpl.) Cogn.,Plantae,NA,MELASTOMATACEAE,Miconia,theaezans,,specie,(Bonpl.) Cogn.,07/07/2014,urn:catalog:RB:613414,RB
Collection,PreservedSpecimen,RB,RB,934017,Frutos pretos.,307,R.A.F. de Lima,14/07/2005,2005,7,14,Brasil,São Paulo,Sete Barras,Trilha da Figueira - Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,V.C. Souza,Jul-06,,Cestrum schlechtendalii G.Don,Plantae,NA,SOLANACEAE,Cestrum,schlechtendalii,,specie,G.Don,19/10/2017,urn:catalog:RB:934017,RB
Collection,PreservedSpecimen,RB,RB,938832,"Flor arroxeada com androceu amarelo, borda de mata",69,P.L.R. de Moraes,08/06/1990,1990,6,8,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,P.L.R. de Moraes,1990,,Solanum flaccidum Vell.,Plantae,NA,SOLANACEAE,Solanum,flaccidum,,specie,Vell.,24/03/2015,urn:catalog:RB:938832,RB
Collection,PreservedSpecimen,RB,RB,758174,Árvore nº 5194 ,29214,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente- Parque Estadual de Carlos Botelho. Floresta ombrofila densa montana submontana.,NA,NA,-24.1913889,-47.9247223,R.F.Almeida,2015,,Bunchosia maritima (Vell.) J.F.Macbr.,Plantae,NA,MALPIGHIACEAE,Bunchosia,maritima,,specie,(Vell.) J.F.Macbr.,18/10/2017,urn:catalog:RB:758174,RB
Collection,PreservedSpecimen,RB,RB,721229,"Árvore 6m altura, frutos roxos",523,A.C. Dias,04/04/1994,1994,4,4,Brasil,São Paulo,São Miguel Arcanjo,Estado Carlos Botelho.,NA,NA,NA,NA,Gemma Bramley,2008,,Vitex chrysleriana Moldenke,Plantae,NA,LAMIACEAE,Vitex,chrysleriana,,specie,Moldenke,03/08/2015,urn:catalog:RB:721229,RB
Collection,PreservedSpecimen,RB,RB,1155126,#,29372,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,,,,Cinnamodendron dinisii Schwacke,Plantae,NA,CANELLACEAE,Cinnamodendron,dinisii,,specie,Schwacke,24/10/2017,urn:catalog:RB:1155126,RB
