source,loc.correct,country_code,NAME_0,NAME_1,NAME_2,NAME_3
gadm,argentina_cordoba_calamuchita,AR,Argentina,Córdoba,Calamuchita,NA
gadm,argentina_cordoba_capital,AR,Argentina,Córdoba,Capital,NA
gadm,argentina_cordoba_colon,AR,Argentina,Córdoba,Colón,NA
gadm,argentina_cordoba_cruz eje,AR,Argentina,Córdoba,Cruz del Eje,NA
gadm,argentina_cordoba_general roca,AR,Argentina,Córdoba,General Roca,NA
gadm,argentina_cordoba_general san martin,AR,Argentina,Córdoba,General San Martín,NA
gadm,argentina_cordoba_ischilin,AR,Argentina,Córdoba,Ischilín,NA
gadm,argentina_cordoba_juarez celman,AR,Argentina,Córdoba,Juárez Celman,NA
gadm,argentina_cordoba_marcos juarez,AR,Argentina,Córdoba,Marcos Juárez,NA
gadm,argentina_cordoba_minas,AR,Argentina,Córdoba,Minas,NA
gadm,argentina_cordoba_pocho,AR,Argentina,Córdoba,Pocho,NA
gadm,argentina_cordoba_presidente roque saenz pena,AR,Argentina,Córdoba,Presidente Roque Sáenz Peña,NA
gadm,argentina_cordoba_punilla,AR,Argentina,Córdoba,Punilla,NA
gadm,argentina_cordoba_rio cuarto,AR,Argentina,Córdoba,Rió Cuarto,NA
gadm,argentina_cordoba_rio primero,AR,Argentina,Córdoba,Rió Primero,NA
gadm,argentina_cordoba_rio seco,AR,Argentina,Córdoba,Rió Seco,NA
gadm,argentina_cordoba_rio segundo,AR,Argentina,Córdoba,Rió Segundo,NA
gadm,argentina_cordoba_san alberto,AR,Argentina,Córdoba,San Alberto,NA
gadm,argentina_cordoba_san javier,AR,Argentina,Córdoba,San Javier,NA
gadm,argentina_cordoba_san justo,AR,Argentina,Córdoba,San Justo,NA
gadm,argentina_cordoba_santa maria,AR,Argentina,Córdoba,Santa María,NA
gadm,argentina_cordoba_sobremonte,AR,Argentina,Córdoba,Sobremonte,NA
gadm,argentina_cordoba_tercero arriba,AR,Argentina,Córdoba,Tercero Arriba,NA
gadm,argentina_cordoba_totoral,AR,Argentina,Córdoba,Totoral,NA
gadm,argentina_cordoba_tulumba,AR,Argentina,Córdoba,Tulumba,NA
gadm,argentina_cordoba_union,AR,Argentina,Córdoba,Unión,NA
gadm,argentina_corrientes,AR,Argentina,Corrientes,NA,NA
gadm,argentina_corrientes_bella vista,AR,Argentina,Corrientes,Bella Vista,NA
gadm,argentina_corrientes_beron astrada,AR,Argentina,Corrientes,Berón de Astrada,NA
