collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
SPSU_NA,SPSU,NA,SPSU,St. Petersburg State University,NA
SPSU_SPSU,SPSU,SPSU,SPSU,St. Petersburg State University,NA
SPT_NA,SPT,NA,SPT,Botanic Gardens Museum,NA
SPT_SPT,SPT,SPT,SPT,Botanic Gardens Museum,NA
SPTS_NA,SPTS,NA,SPTS,Southport Scientific Society,NA
SPTS_SPTS,SPTS,SPTS,SPTS,Southport Scientific Society,NA
SPVR_SPVR,SPVR,SPVR,SPVR,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",not in IH
SPw_NA,SPw,NA,SPw,Instituto de Botanica,xylarium|not in IH
SPw_SPw,SPw,SPw,SPw,Instituto de Botanica,xylarium|not in IH
SPWH_NA,SPWH,NA,SPWH,Woods Hole Oceanographic Institution,NA
SPWH_SPWH,SPWH,SPWH,SPWH,Woods Hole Oceanographic Institution,NA
SQB_NA,SQB,NA,SQB,Société québécoise de bryologie,NA
SQB_SQB,SQB,SQB,SQB,Société québécoise de bryologie,NA
SQF_NA,SQF,NA,SQF,Universidad de Chile,NA
SQF_SQF,SQF,SQF,SQF,Universidad de Chile,NA
SQF_UCh,SQF,UCh,SQF,Universidad de Chile,NA
SQNU_SQNU,SQNU,SQNU,SQNU,Shangqiu Normal University,NA
SQU_SQU,SQU,SQU,SQU,Manash Kozybayev North Kazakhstan university,NA
SQUH_NA,SQUH,NA,SQUH,Sultan Qaboos University,NA
SQUH_SQUH,SQUH,SQUH,SQUH,Sultan Qaboos University,NA
SR_NA,SR,NA,SR,Sichuan Institute of Natural Resources,NA
SR_SR,SR,SR,SR,Sichuan Institute of Natural Resources,NA
SRBM_SRBM,SRBM,SRBM,SRBM,SíTIO ROBERTO BURLE MARX,not in IH
SRCG_NA,SRCG,NA,SRCG,Baylor University,NA
SRCG_SRCG,SRCG,SRCG,SRCG,Baylor University,NA
SRD_NA,SRD,NA,SRD,Passmore Edwards Museum,NA
SRD_SRD,SRD,SRD,SRD,Passmore Edwards Museum,NA
SRF_NA,SRF,NA,SRF,Shangrao Forestry Institute,NA
SRF_SRF,SRF,SRF,SRF,Shangrao Forestry Institute,NA
HERB_SRFA,HERB,SRFA,SRFA,Universidad Nacional de La Pampa,NA
SRFA_SRFA,SRFA,SRFA,SRFA,Universidad Nacional de La Pampa,NA
HER_UNLPAM-FA,HER,UNLPAM-FA,SRFA,Universidad Nacional de La Pampa,NA
SRGH_NA,SRGH,NA,SRGH,Botanic Garden,NA
SRGH_SRGH,SRGH,SRGH,SRGH,Botanic Garden,NA
SRH_SRH,SRH,SRH,SRH,Bard College at Simon's Rock,NA
SRJC_SRJC,SRJC,SRJC,SRJC,Santa Rosa Junior College,NA
SRP_NA,SRP,NA,SRP,Boise State University,NA
SRP_SRP,SRP,SRP,SRP,Boise State University,NA
Vascular_SRP,Vascular,SRP,SRP,Boise State University,NA
SRPARI_SRPARI,SRPARI,SRPARI,SRPARI,Somali Region Pastoral and Agro-pastoral Research Institute,NA
SRR_NA,SRR,NA,SRR,Koninklijke Shell (Shell Research N.V.),NA
SRR_SRR,SRR,SRR,SRR,Koninklijke Shell (Shell Research N.V.),NA
SRS_NA,SRS,NA,SRS,Universidade do Sul de Santa Catarina,NA
SRS_SRS,SRS,SRS,SRS,Universidade do Sul de Santa Catarina,NA
SRSC_NA,SRSC,NA,SRSC,Sul Ross State University,NA
SRSC_SRSC,SRSC,SRSC,SRSC,Sul Ross State University,NA
SS_NA,SS,NA,SS,Università di Sassari,NA
SS_SS,SS,SS,SS,Università di Sassari,NA
SSC_SSC,SSC,SSC,SSC,SIR SYED COLLEGE TALIPARAMBA,NA
SSCMH_SSCMH,SSCMH,SSCMH,SSCMH,"Faculty of Natural Sciences and Mathematics - Skopje, """"Ss. Cyril and Methodius"""" University in Skopje",NA
SSFH_SSFH,SSFH,SSFH,SSFH,High Altitude Research-Quality Control Laboratory,NA
SSHZ_NA,SSHZ,NA,SSHZ,Sayano-Shushensky State Nature Biosphere Reserve,NA
SSHZ_SSHZ,SSHZ,SSHZ,SSHZ,Sayano-Shushensky State Nature Biosphere Reserve,NA
SSJC_NA,SSJC,NA,SSJC,San Joaquin County,NA
SSJC_SSJC,SSJC,SSJC,SSJC,San Joaquin County,NA
SSLP_NA,SSLP,NA,SSLP,"Rocky Mountain Research Station, USDA Forest Service",NA
SSLP_SSLP,SSLP,SSLP,SSLP,"Rocky Mountain Research Station, USDA Forest Service",NA
SSMF_NA,SSMF,NA,SSMF,"Great Lakes Forestry Centre, Canadian Forest Service",NA
SSMF_SSMF,SSMF,SSMF,SSMF,"Great Lakes Forestry Centre, Canadian Forest Service",NA
SSMM_NA,SSMM,NA,SSMM,Shanxi School of Chinese Materia Medica,NA
SSMM_SSMM,SSMM,SSMM,SSMM,Shanxi School of Chinese Materia Medica,NA
SSPW_NA,SSPW,NA,SSPW,Perivale Wood Nature Reserve,NA
SSPW_SSPW,SSPW,SSPW,SSPW,Perivale Wood Nature Reserve,NA
SSUC_NA,SSUC,NA,SSUC,Pontificia Universidad Católica de Chile,NA
SSUC_SSUC,SSUC,SSUC,SSUC,Pontificia Universidad Católica de Chile,NA
ST_NA,ST,NA,ST,Suzhou Teachers College,NA
ST_ST,ST,ST,ST,Suzhou Teachers College,NA
STA_NA,STA,NA,STA,University of St. Andrews,NA
STA_STA,STA,STA,STA,University of St. Andrews,NA
STAC_STAC,STAC,STAC,STAC,Saint Anselm College,NA
STAL_NA,STAL,NA,STAL,Verulamium Museum,NA
STAL_STAL,STAL,STAL,STAL,Verulamium Museum,NA
STANAU_STANAU,STANAU,STANAU,STANAU,STANAU,NA
STAR_NA,STAR,NA,STAR,Arkansas State University,NA
STAR_STAR,STAR,STAR,STAR,Arkansas State University,NA
STASH_NA,STASH,NA,STASH,St. Beuno's College,NA
STASH_STASH,STASH,STASH,STASH,St. Beuno's College,NA
STAZ_STAZ,STAZ,STAZ,STAZ,Museo Civico di Storia Naturale di Stazzano,NA
STB_NA,STB,NA,STB,St. Bartholomew's Hospital,NA
STB_STB,STB,STB,STB,St. Bartholomew's Hospital,NA
STC_STC,STC,STC,STC,St. Thomas'  College (Autonomous) Thrissur,NA
STCALPY_STCALPY,STCALPY,STCALPY,STCALPY,St Joseph''s College for Women,NA
STCHK_STCHK,STCHK,STCHK,STCHK,"St. Thomas College, Kozhencherry",NA
STCR_NA,STCR,NA,STCR,Université de la Réunion,NA
STCR_STCR,STCR,STCR,STCR,Université de la Réunion,NA
STD_NA,STD,NA,STD,Prittlewell Priory Museum,NA
STD_STD,STD,STD,STD,Prittlewell Priory Museum,NA
STDCM_NA,STDCM,NA,STDCM,Southend Central Museum,NA
STDCM_STDCM,STDCM,STDCM,STDCM,Southend Central Museum,NA
STE_NA,STE,NA,STE,National Botanical Institute,NA
STE_STE,STE,STE,STE,National Botanical Institute,NA
STEU_NA,STEU,NA,STEU,University of Stellenbosch,NA
STEU_STEU,STEU,STEU,STEU,University of Stellenbosch,NA
STEw_NA,STEw,NA,STEw,University of Stellenbosch,xylarium|not in IH
STEw_STEw,STEw,STEw,STEw,University of Stellenbosch,xylarium|not in IH
STFX_NA,STFX,NA,STFX,St. Francis Xavier University,NA
STFX_STFX,STFX,STFX,STFX,St. Francis Xavier University,NA
STG_NA,STG,NA,STG,St. Martin's Convent,NA
STG_STG,STG,STG,STG,St. Martin's Convent,NA
STI_NA,STI,NA,STI,Stirling Smith Art Gallery and Museum,NA
STI_STI,STI,STI,STI,Stirling Smith Art Gallery and Museum,NA
STIU_NA,STIU,NA,STIU,University of Stirling,NA
STIU_STIU,STIU,STIU,STIU,University of Stirling,NA
STK_NA,STK,NA,STK,Stoke-on-Trent Athenaeum,NA
STK_STK,STK,STK,STK,Stoke-on-Trent Athenaeum,NA
STL_NA,STL,NA,STL,Instituto Nacional de Limnología,NA
STL_STL,STL,STL,STL,Instituto Nacional de Limnología,NA
STM_NA,STM,NA,STM,Streatham Antiquarian and Natural History Society,NA
STM_STM,STM,STM,STM,Streatham Antiquarian and Natural History Society,NA
STMU_NA,STMU,NA,STMU,"St. Mary's University, Calgary",NA
STMU_STMU,STMU,STMU,STMU,"St. Mary's University, Calgary",NA
STNF_NA,STNF,NA,STNF,Shasta-Trinity National Forest,NA
STNF_STNF,STNF,STNF,STNF,Shasta-Trinity National Forest,NA
STO_NA,STO,NA,STO,The Potteries Museum & Art Gallery,NA
STO_STO,STO,STO,STO,The Potteries Museum & Art Gallery,NA
STOLBY_STOLBY,STOLBY,STOLBY,STOLBY,"National Park ""Krasnoyarsk Stolby""",NA
STP_NA,STP,NA,STP,"La Société Guernesiaise, Priaulx Library",NA
STP_STP,STP,STP,STP,"La Société Guernesiaise, Priaulx Library",NA
STPCM_NA,STPCM,NA,STPCM,"Island Museum, Candie Gardens",NA
STPCM_STPCM,STPCM,STPCM,STPCM,"Island Museum, Candie Gardens",NA
STPE_NA,STPE,NA,STPE,"Florida Marine Research Institute, Florida Department of Environmental Protection",NA
STPE_STPE,STPE,STPE,STPE,"Florida Marine Research Institute, Florida Department of Environmental Protection",NA
STPH_NA,STPH,NA,STPH,"Direcção Geral do Ambiente, Cabinet of Environment, Ministry of Natural Resources and Environment",NA
STPH_STPH,STPH,STPH,STPH,"Direcção Geral do Ambiente, Cabinet of Environment, Ministry of Natural Resources and Environment",NA
STPS_NA,STPS,NA,STPS,St. Paul's School,NA
STPS_STPS,STPS,STPS,STPS,St. Paul's School,NA
STR_STR,STR,STR,STR,University of Strasbourg,NA
CAL_Université de Strasbourg,CAL,Université de Strasbourg,STR,University of Strasbourg,NA
STR_Université de Strasbourg,STR,Université de Strasbourg,STR,University of Strasbourg,NA
WFWallis-Futuna_Université de Strasbourg,WFWallis-Futuna,Université de Strasbourg,STR,University of Strasbourg,NA
STRI_NA,STRI,NA,STRI,Smithsonian Tropical Research Institute,NA
STRI_STRI,STRI,STRI,STRI,Smithsonian Tropical Research Institute,NA
STS_NA,STS,NA,STS,Stromness Museum,NA
STS_STS,STS,STS,STS,Stromness Museum,NA
STT_NA,STT,NA,STT,St. Thomas's Hospital Medical School Library,NA
STT_STT,STT,STT,STT,St. Thomas's Hospital Medical School Library,NA
"Staatliches Museum für Naturkunde Stuttgart, Herbarium_STU","Staatliches Museum für Naturkunde Stuttgart, Herbarium",STU,STU,Staatliches Museum für Naturkunde Stuttgart,NA
STU_STU,STU,STU,STU,Staatliches Museum für Naturkunde Stuttgart,NA
SU_NA,SU,NA,SU,Suzhou University,NA
SU_SU,SU,SU,SU,Suzhou University,NA
SUA_NA,SUA,NA,SUA,Sokoine University of Agriculture,NA
SUA_SUA,SUA,SUA,SUA,Sokoine University of Agriculture,NA
SUCH_NA,SUCH,NA,SUCH,Sukhumi Botanical Garden of Georgian Academy of Sciences,NA
SUCH_SUCH,SUCH,SUCH,SUCH,Sukhumi Botanical Garden of Georgian Academy of Sciences,NA
SUCO_NA,SUCO,NA,SUCO,"State University of New York, College at Oneonta",NA
SUCO_SUCO,SUCO,SUCO,SUCO,"State University of New York, College at Oneonta",NA
SUD_NA,SUD,NA,SUD,Stroud District (Cowle) Museum Service,NA
SUD_SUD,SUD,SUD,SUD,Stroud District (Cowle) Museum Service,NA
SUDENEw_NA,SUDENEw,NA,SUDENEw,"Universidade Federal Rural de Pernambuco (Rural Federal University of Pernambuco), Departamento de Ciencia Florestal (Forest Science Department) - Herbarium Sergio Tavares,",xylarium|not in IH
SUDENEw_SUDENEw,SUDENEw,SUDENEw,SUDENEw,"Universidade Federal Rural de Pernambuco (Rural Federal University of Pernambuco), Departamento de Ciencia Florestal (Forest Science Department) - Herbarium Sergio Tavares,",xylarium|not in IH
SUFA_NA,SUFA,NA,SUFA,Sulaimania University,NA
SUFA_SUFA,SUFA,SUFA,SUFA,Sulaimania University,NA
SUFAF_NA,SUFAF,NA,SUFAF,Siirt University Flora and Fauna Center,NA
SUFAF_SUFAF,SUFAF,SUFAF,SUFAF,Siirt University Flora and Fauna Center,NA
Vs_SUG,Vs,SUG,SUG,University of Tsukuba,not in IH
SUG_SUG,SUG,SUG,SUG,University of Tsukuba,not in IH
SUH_NA,SUH,NA,SUH,Sohag University,NA
SUH_SUH,SUH,SUH,SUH,Sohag University,NA
SUHC_NA,SUHC,NA,SUHC,Salisbury University,NA
SUHC_SUHC,SUHC,SUHC,SUHC,Salisbury University,NA
SUK_NA,SUK,NA,SUK,Shivaji University,NA
SUK_SUK,SUK,SUK,SUK,Shivaji University,NA
SUM_NA,SUM,NA,SUM,Okresní vlastivedné muzeum v Sumperku,NA
SUM_SUM,SUM,SUM,SUM,Okresní vlastivedné muzeum v Sumperku,NA
SUN_NA,SUN,NA,SUN,Sunderland Museum,NA
SUN_SUN,SUN,SUN,SUN,Sunderland Museum,NA
SUND_NA,SUND,NA,SUND,Sunderland Natural History and Antiquarian Society,NA
SUND_SUND,SUND,SUND,SUND,Sunderland Natural History and Antiquarian Society,NA
SUNIV_NA,SUNIV,NA,SUNIV,University of Stockholm,NA
SUNIV_SUNIV,SUNIV,SUNIV,SUNIV,University of Stockholm,NA
SUNYPO_SUNYPO,SUNYPO,SUNYPO,SUNYPO,SUNY Potsdam,NA
SURCO_NA,SURCO,NA,SURCO,Universidad Surcolombiana,NA
SURCO_SURCO,SURCO,SURCO,SURCO,Universidad Surcolombiana,NA
SURCO_Universidad Surcolombiana (USCO),SURCO,Universidad Surcolombiana (USCO),SURCO,Universidad Surcolombiana,NA
SUSL_SUSL,SUSL,SUSL,SUSL,Sabaragamuwa University of Sri Lanka,NA
U_SUU,U,SUU,SUU,Southern Utah University,NA
SUU_SUU,SUU,SUU,SUU,Southern Utah University,NA
SUVA_NA,SUVA,NA,SUVA,University of the South Pacific,NA
SUVA_SUVA,SUVA,SUVA,SUVA,University of the South Pacific,NA
SUWS_NA,SUWS,NA,SUWS,University of Wisconsin-Superior,NA
SUWS_SUWS,SUWS,SUWS,SUWS,University of Wisconsin-Superior,NA
SV_NA,SV,NA,SV,Antigua Estación Experimental Agronómica,NA
SV_SV,SV,SV,SV,Antigua Estación Experimental Agronómica,NA
SVALP_SVALP,SVALP,SVALP,SVALP,NGO «St. Alexis Hermitage Orthodox Charity Monastery-Brotherhood»,NA
SVER_Institute of Plant and Animal Ecology Ural Branch of the Russian Academy of Sciences,SVER,Institute of Plant and Animal Ecology Ural Branch of the Russian Academy of Sciences,SVER,Institute of Plant and Animal Ecology,NA
SVER_SVER,SVER,SVER,SVER,Institute of Plant and Animal Ecology,NA
V_SVG,V,SVG,SVG,University of Stavanger,NA
SVG_SVG,SVG,SVG,SVG,University of Stavanger,NA
SVUTY_NA,SVUTY,NA,SVUTY,Sri Venkateswara University,NA
SVUTY_SVUTY,SVUTY,SVUTY,SVUTY,Sri Venkateswara University,NA
SVw_NA,SVw,NA,SVw,Institute of Ecology and Systematic,xylarium|not in IH
SVw_SVw,SVw,SVw,SVw,Institute of Ecology and Systematic,xylarium|not in IH
SVZ_SVZ,SVZ,SVZ,SVZ,Herbarium Sander van Zon,NA
SWA_NA,SWA,NA,SWA,Swansea Museum,NA
SWA_SWA,SWA,SWA,SWA,Swansea Museum,NA
SWAT_NA,SWAT,NA,SWAT,University of Swat Pakistan,NA
SWAT_SWAT,SWAT,SWAT,SWAT,University of Swat Pakistan,NA
SWAU_NA,SWAU,NA,SWAU,Southwest Agricultural University,NA
SWAU_SWAU,SWAU,SWAU,SWAU,Southwest Agricultural University,NA
SWBR_NA,SWBR,NA,SWBR,Sweet Briar College,NA
SWBR_SWBR,SWBR,SWBR,SWBR,Sweet Briar College,NA
SWC_NA,SWC,NA,SWC,Swarthmore College,NA
SWC_SWC,SWC,SWC,SWC,Swarthmore College,NA
SWCTU_NA,SWCTU,NA,SWCTU,Southwest Teachers University,NA
SWCTU_SWCTU,SWCTU,SWCTU,SWCTU,Southwest Teachers University,NA
SWE_NA,SWE,NA,SWE,"Chandos House, Stowe School",NA
SWE_SWE,SWE,SWE,SWE,"Chandos House, Stowe School",NA
SWF_NA,SWF,NA,SWF,Naples Botanical Garden,NA
SWF_SWF,SWF,SWF,SWF,Naples Botanical Garden,NA
SWFC_NA,SWFC,NA,SWFC,Southwest Forestry College,NA
SWFC_SWFC,SWFC,SWFC,SWFC,Southwest Forestry College,NA
SWFUw_NA,SWFUw,NA,SWFUw,Southwest Forestry University,xylarium|not in IH
SWFUw_SWFUw,SWFUw,SWFUw,SWFUw,Southwest Forestry University,xylarium|not in IH
SWGC_NA,SWGC,NA,SWGC,"Grenfell Campus, Memorial University of Newfoundland",NA
SWGC_SWGC,SWGC,SWGC,SWGC,"Grenfell Campus, Memorial University of Newfoundland",NA
SWI_SWI,SWI,SWI,SWI,"Herbarium of Southwest Survey and Planning Institute, National Forestry and Grassland Administration",NA
Swiss Psyllid (Hemiptera) Collections - Basel_NMB,Swiss Psyllid (Hemiptera) Collections - Basel,NMB,Swiss Psyllid (Hemiptera) Collections - Basel,NA,not in IH
Swiss Psyllid (Hemiptera) Collections - Geneva_MHNG,Swiss Psyllid (Hemiptera) Collections - Geneva,MHNG,Swiss Psyllid (Hemiptera) Collections - Geneva,NA,not in IH
SWJTU_SWJTU,SWJTU,SWJTU,SWJTU,Southwest Jiaotong University,NA
SWMT_NA,SWMT,NA,SWMT,Rhodes College,NA
SWMT_SWMT,SWMT,SWMT,SWMT,Rhodes College,NA
SWN_NA,SWN,NA,SWN,Saffron Walden Museum,NA
SWN_SWN,SWN,SWN,SWN,Saffron Walden Museum,NA
SWNHS_NA,SWNHS,NA,SWNHS,Saffron Walden Horticultural Society,NA
SWNHS_SWNHS,SWNHS,SWNHS,SWNHS,Saffron Walden Horticultural Society,NA
SWSL_NA,SWSL,NA,SWSL,USDA/ARS,NA
SWSL_SWSL,SWSL,SWSL,SWSL,USDA/ARS,NA
SWT_NA,SWT,NA,SWT,Texas State University,NA
SWT_SWT,SWT,SWT,SWT,Texas State University,NA
SWTN_NA,SWTN,NA,SWTN,Swinton and Pendlebury Botanical Society,NA
SWTN_SWTN,SWTN,SWTN,SWTN,Swinton and Pendlebury Botanical Society,NA
SWU_NA,SWU,NA,SWU,Sungshin Women's University,NA
SWU_SWU,SWU,SWU,SWU,Sungshin Women's University,NA
SXAU_NA,SXAU,NA,SXAU,Shanxi Agricultural University,NA
SXAU_SXAU,SXAU,SXAU,SXAU,Shanxi Agricultural University,NA
SXDC_NA,SXDC,NA,SXDC,Shaanxi Institute for Drug Control,NA
SXDC_SXDC,SXDC,SXDC,SXDC,Shaanxi Institute for Drug Control,NA
SXIM_NA,SXIM,NA,SXIM,Shaanxi Institute of Microbiology,NA
SXIM_SXIM,SXIM,SXIM,SXIM,Shaanxi Institute of Microbiology,NA
SXMP_NA,SXMP,NA,SXMP,Shaanxi Academy of Traditional Chinese Medicine and Pharmacology,NA
SXMP_SXMP,SXMP,SXMP,SXMP,Shaanxi Academy of Traditional Chinese Medicine and Pharmacology,NA
SXU_NA,SXU,NA,SXU,Shanxi University,NA
SXU_SXU,SXU,SXU,SXU,Shanxi University,NA
SY_NA,SY,NA,SY,Shenyang Municipal Academy of Landscape Gardening,NA
SY_SY,SY,SY,SY,Shenyang Municipal Academy of Landscape Gardening,NA
SYAU_NA,SYAU,NA,SYAU,Shenyang Agricultural University,NA
SYAU_SYAU,SYAU,SYAU,SYAU,Shenyang Agricultural University,NA
SYAUF_NA,SYAUF,NA,SYAUF,Shenyang Agricultural University,NA
SYAUF_SYAUF,SYAUF,SYAUF,SYAUF,Shenyang Agricultural University,NA
SYD_NA,SYD,NA,SYD,University of Sydney,NA
SYD_SYD,SYD,SYD,SYD,University of Sydney,NA
SYKO_IB FRC Komi SC UB RAS,SYKO,IB FRC Komi SC UB RAS,SYKO,"Komi Scientific Centre, Russian Academy of Sciences",NA
SYKO_SYKO,SYKO,SYKO,SYKO,"Komi Scientific Centre, Russian Academy of Sciences",NA
SYKT_NA,SYKT,NA,SYKT,Syktyvkar State University,NA
SYKT_SYKT,SYKT,SYKT,SYKT,Syktyvkar State University,NA
SYPC_NA,SYPC,NA,SYPC,Shenyang College of Pharmacy,NA
SYPC_SYPC,SYPC,SYPC,SYPC,Shenyang College of Pharmacy,NA
SYR_NA,SYR,NA,SYR,Syracuse University,NA
SYR_SYR,SYR,SYR,SYR,Syracuse University,NA
SYRF_NA,SYRF,NA,SYRF,State University of New York,NA
SYRF_SYRF,SYRF,SYRF,SYRF,State University of New York,NA
SYS_NA,SYS,NA,SYS,Zhongshan (Sun Yatsen) University,NA
SYS_SYS,SYS,SYS,SYS,Zhongshan (Sun Yatsen) University,NA
SYSU_NA,SYSU,NA,SYSU,National Sun Yat-Sen University,NA
SYSU_SYSU,SYSU,SYSU,SYSU,National Sun Yat-Sen University,NA
SYSw_NA,SYSw,NA,SYSw,"Botanical Laboratories, Department of Biology, Sun Yat-Sen University",xylarium|not in IH
SYSw_SYSw,SYSw,SYSw,SYSw,"Botanical Laboratories, Department of Biology, Sun Yat-Sen University",xylarium|not in IH
SYT_NA,SYT,NA,SYT,Stonyhurst College,NA
SYT_SYT,SYT,SYT,SYT,Stonyhurst College,NA
SZ_NA,SZ,NA,SZ,"Sichuan University, Jianghong Ran",NA
SZ_SZ,SZ,SZ,SZ,"Sichuan University, Jianghong Ran",NA
SZB_NA,SZB,NA,SZB,Haus der Natur,NA
SZB_SZB,SZB,SZB,SZB,Haus der Natur,NA
SZCZ_NA,SZCZ,NA,SZCZ,University of Szczecin,NA
SZCZ_SZCZ,SZCZ,SZCZ,SZCZ,University of Szczecin,NA
SZDw_NA,SZDw,NA,SZDw,Universitatis Szeged,xylarium|not in IH
SZDw_SZDw,SZDw,SZDw,SZDw,Universitatis Szeged,xylarium|not in IH
SZE_NA,SZE,NA,SZE,Móra Ferenc Museum,NA
SZE_SZE,SZE,SZE,SZE,Móra Ferenc Museum,NA
SZG_NA,SZG,NA,SZG,Fairy Lake Botanical Garden,NA
SZG_SZG,SZG,SZG,SZG,Fairy Lake Botanical Garden,NA
SZL_NA,SZL,NA,SZL,Landesherbar von Salzburg,NA
SZL_SZL,SZL,SZL,SZL,Landesherbar von Salzburg,NA
SZU_NA,SZU,NA,SZU,University of Salzburg,NA
SZU_SZU,SZU,SZU,SZU,University of Salzburg,NA
SZUB_NA,SZUB,NA,SZUB,University of Szczecin,NA
SZUB_SZUB,SZUB,SZUB,SZUB,University of Szczecin,NA
T_NA,T,NA,T,Kharazmi University,NA
T_T,T,T,T,Kharazmi University,NA
TA_TA,TA,TA,TA,Russian State Agrarian University – Moscow Timiryazev Agricultural Academy,NA
TAA_EMY,TAA,EMY,TAA,Estonian University of Life Sciences,NA
TAA_TAA,TAA,TAA,TAA,Estonian University of Life Sciences,NA
TAA_TAAM,TAA,TAAM,TAA,Estonian University of Life Sciences,NA
TAAM_NA,TAAM,NA,TAAM,Institute of Agricultural and Environmental Sciences of the Estonian University of Life Sciences,NA
TAAM_TAAM,TAAM,TAAM,TAAM,Institute of Agricultural and Environmental Sciences of the Estonian University of Life Sciences,NA
TAC_NA,TAC,NA,TAC,Tarleton State University,NA
TAC_TAC,TAC,TAC,TAC,Tarleton State University,NA
TAD_NA,TAD,NA,TAD,Botanical Institute of the Tajikistan Academy of Sciences,NA
TAD_TAD,TAD,TAD,TAD,Botanical Institute of the Tajikistan Academy of Sciences,NA
TAES_NA,TAES,NA,TAES,Texas A&M University,NA
TAES_TAES,TAES,TAES,TAES,Texas A&M University,NA
HERB_TAES,HERB,TAES,TAES,Texas A&M University,NA
TAES_TAMU,TAES,TAMU,TAES,Texas A&M University,NA
TAH_TAH,TAH,TAH,TAH,Trees Atlanta,NA
TAI_TAI,TAI,TAI,TAI,National Taiwan University,NA
TAIC_NA,TAIC,NA,TAIC,Texas A&M University-Kingsville,NA
TAIC_TAIC,TAIC,TAIC,TAIC,Texas A&M University-Kingsville,NA
TAIE_NA,TAIE,NA,TAIE,Taiwan Endemic Species Research Institute,NA
TAIE_TAIE,TAIE,TAIE,TAIE,Taiwan Endemic Species Research Institute,NA
PLANT_TAIF,PLANT,TAIF,TAIF,Taiwan Forestry Research Institute,NA
TAIF_TAIF,TAIF,TAIF,TAIF,Taiwan Forestry Research Institute,NA
TAIFw_NA,TAIFw,NA,TAIFw,Botanical Garden,xylarium|not in IH
TAIFw_TAIFw,TAIFw,TAIFw,TAIFw,Botanical Garden,xylarium|not in IH
TAIM_NA,TAIM,NA,TAIM,Taiwan Museum,NA
TAIM_TAIM,TAIM,TAIM,TAIM,Taiwan Museum,NA
TAK_NA,TAK,NA,TAK,Lenin State University,NA
TAK_TAK,TAK,TAK,TAK,Lenin State University,NA
TAL_NA,TAL,NA,TAL,Jardin botanique de Talence,NA
TAL_TAL,TAL,TAL,TAL,Jardin botanique de Talence,NA
TALE_NA,TALE,NA,TALE,Laboratoire Géologique,NA
TALE_TALE,TALE,TALE,TALE,Laboratoire Géologique,NA
TALL_TALL,TALL,TALL,TALL,Tallinn Botanic Garden,NA
TAM_Estonian Museum of Natural History,TAM,Estonian Museum of Natural History,TAM,Estonian Museum of Natural History,NA
TAM_TAM,TAM,TAM,TAM,Estonian Museum of Natural History,NA
TAMA_NA,TAMA,NA,TAMA,Medicinal Plant and Traditional Medicinal Medicine Researc and Development Center,NA
TAMA_TAMA,TAMA,TAMA,TAMA,Medicinal Plant and Traditional Medicinal Medicine Researc and Development Center,NA
TAMU_NA,TAMU,NA,TAMU,Texas A&M University,NA
TAMU_TAES,TAMU,TAES,TAMU,Texas A&M University,NA
TAMU_TAMU,TAMU,TAMU,TAMU,Texas A&M University,NA
TAMUCC_NA,TAMUCC,NA,TAMUCC,Texas A&M University-Corpus Christi,NA
TAMUCC_TAMUCC,TAMUCC,TAMUCC,TAMUCC,Texas A&M University-Corpus Christi,NA
Anacardiaceae_TAN,Anacardiaceae,TAN,TAN,Parc Botanique et Zoologique de Tsimbazaza (PBZT),NA
Annonaceae_TAN,Annonaceae,TAN,TAN,Parc Botanique et Zoologique de Tsimbazaza (PBZT),NA
Poaceae_TAN,Poaceae,TAN,TAN,Parc Botanique et Zoologique de Tsimbazaza (PBZT),NA
TAN_TAN,TAN,TAN,TAN,Parc Botanique et Zoologique de Tsimbazaza (PBZT),NA
TANE_NA,TANE,NA,TANE,Tanta University,NA
TANE_TANE,TANE,TANE,TANE,Tanta University,NA
TANG_TANG,TANG,TANG,TANG,UNEMAT,NA
TANG_UNEMAT,TANG,UNEMAT,TANG,UNEMAT,NA
TAR_NA,TAR,NA,TAR,"Consiglio Nazionale delle Ricerche, Istituto di Ricerca sulle Acque",NA
TAR_TAR,TAR,TAR,TAR,"Consiglio Nazionale delle Ricerche, Istituto di Ricerca sulle Acque",NA
TARI_NA,TARI,NA,TARI,Research Institute of Forests and Rangelands,NA
TARI_TARI,TARI,TARI,TARI,Research Institute of Forests and Rangelands,NA
TASH_Academy of Sciences of the Republic of Uzbekistan,TASH,Academy of Sciences of the Republic of Uzbekistan,TASH,"Academy of Science, Uzbekistan",NA
TASH_TASH,TASH,TASH,TASH,"Academy of Science, Uzbekistan",NA
TASM_NA,TASM,NA,TASM,Uzbek Academy of Sciences,NA
TASM_TASM,TASM,TASM,TASM,Uzbek Academy of Sciences,NA
TAU_NA,TAU,NA,TAU,Aristotle University of Thessaloniki,NA
TAU_TAU,TAU,TAU,TAU,Aristotle University of Thessaloniki,NA
TAUF_NA,TAUF,NA,TAUF,Aristotle University of Thessaloniki,NA
TAUF_TAUF,TAUF,TAUF,TAUF,Aristotle University of Thessaloniki,NA
TAUH_TAUH,TAUH,TAUH,TAUH,Taibah University,NA
TAUw_NA,TAUw,NA,TAUw,"School of Agriculture & Forestry, Aristotelian University",xylarium|not in IH
