collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
ARIZ_UAZ,ARIZ,UAZ,ARIZ,University of Arizona,code not found
ARKH_ARKH,ARKH,ARKH,ARKH,Chingan State Nature Reserve,NA
ARL_ARL,ARL,ARL,ARL,Médiathèque d’Arles,NA
ARM_NA,ARM,NA,ARM,County Museum,NA
ARMFN_ARMFN,ARMFN,ARMFN,ARMFN,Armagh Field Naturalists' Society,NA
ARRI_ARRI,ARRI,ARRI,ARRI,Ayurveda Regional Research Institute,NA
ARSEF_ARSEF,ARSEF,ARSEF,ARSEF,"Robert W. Holley Center for Agriculture & Health, USDA ARS",NA
ARTH_ARTH,ARTH,ARTH,ARTH,Artvin Coruh University,NA
ARUN_ARUN,ARUN,ARUN,ARUN,"Botanical Survey of India, Arunachal Pradesh Regional Centre",NA
ARw_ARw,ARw,ARw,ARw,Forest Research Institute,xylarium|not in IH
ARWESP_ARWESP,ARWESP,ARWESP,ARWESP,Arboretum Wespelaar,"herbarium, xilarium and carpothek"
HERB_AS,HERB,AS,AS,Jardín Botánico,NA
Jardin Botanico_AS,Jardin Botanico,AS,AS,Jardín Botánico,NA
Jardín Botánico_AS,Jardín Botánico,AS,AS,Jardín Botánico,NA
AS_AS,AS,AS,AS,Jardín Botánico,NA
ASC_ASC,ASC,ASC,ASC,Northern Arizona University,NA
ASCOL Herbarium_ASCOL Herbarium,ASCOL Herbarium,ASCOL Herbarium,ASCOL Herbarium,Amrit Campus,NA
ASDM_ASDM,ASDM,ASDM,ASDM,Arizona-Sonora Desert Museum,NA
ASE_ASE,ASE,ASE,ASE,Universidade Federal de Sergipe (UFS),NA
ASE_UFS,ASE,UFS,ASE,Universidade Federal de Sergipe (UFS),NA
ASE_Universidade Federal de Sergipe,ASE,Universidade Federal de Sergipe,ASE,Universidade Federal de Sergipe (UFS),NA
"ASE_Universidade Federal de Sergipe, UFS",ASE,"Universidade Federal de Sergipe, UFS",ASE,Universidade Federal de Sergipe (UFS),NA
ASEw_ASEw,ASEw,ASEw,ASEw,"Departamento de biologia, Universidade Federal de Sergipe",xylarium|not in IH
ASH_ASH,ASH,ASH,ASH,National Institute of Deserts Flora and Fauna,NA
ASM_ASM,ASM,ASM,ASM,Arts and Science University,NA
ASRC_ASRC,ASRC,ASRC,ASRC,"Atmospheric Sciences Research Center, Whiteface Mountain Field Station",NA
ASSAM_ASSAM,ASSAM,ASSAM,ASSAM,"Botanical Survey of India, Eastern Regional Centre",NA
AST_AST,AST,AST,AST,University of Aston,NA
ASTC_ASTC,ASTC,ASTC,ASTC,Stephen F. Austin State University,NA
ASTN_ASTN,ASTN,ASTN,ASTN,Ashton-under-Lyne Linnean Botanical Society,NA
ASTU_ASTU,ASTU,ASTU,ASTU,Assiut University,NA
Arizona State University_ASU,Arizona State University,ASU,ASU,Arizona State University,NA
ASU_ASU,ASU,ASU,ASU,Arizona State University,NA
ASUPlants_ASU,ASUPlants,ASU,ASU,Arizona State University,NA
HERB_ASU,HERB,ASU,ASU,Arizona State University,NA
ASU-PLANTS_ASU,ASU-PLANTS,ASU,ASU,Arizona State University,NA
ASU-Lichen_ASU,ASU-Lichen,ASU,ASU,Arizona State University,NA
Plants_ASU,Plants,ASU,ASU,Arizona State University,NA
ASUE_ASUE,ASUE,ASUE,ASUE,"Faculty of Science, Ain Shams University",NA
ASUF_ASUF,ASUF,ASUF,ASUF,"Rocky Mountain Research Station, USDA Forest Service",NA
ASW_ASW,ASW,ASW,ASW,South Valley University,NA
