source,kingdom,name,name.correct,order.correct,class.correct
apg_v14,plantae,Calochortaceae,Liliaceae,Liliales,Liliopsida
apg_v14|col_v2025,plantae,Calophyllaceae,Calophyllaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Calthaceae,Ranunculaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Calycanthaceae,Calycanthaceae,Laurales,Magnoliopsida
apg_v14|col_v2025,plantae,Calyceraceae,Calyceraceae,Asterales,Magnoliopsida
apg_v14|col_v2025,plantae,Cambogiaceae,Clusiaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Camelliaceae,Theaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Campanulaceae,Campanulaceae,Asterales,Magnoliopsida
apg_v14,plantae,Camptothecaceae,Nyssaceae,Cornales,Magnoliopsida
apg_v14|col_v2025,plantae,Campynemataceae,Campynemataceae,Liliales,Liliopsida
apg_v14|col_v2025,plantae,Canacomyricaceae,Myricaceae,Fagales,Magnoliopsida
apg_v14|col_v2025,plantae,Canellaceae,Canellaceae,Canellales,Magnoliopsida
apg_v14|col_v2025,plantae,Cannabaceae,Cannabaceae,Rosales,Magnoliopsida
apg_v14|col_v2025,plantae,Cannaceae,Cannaceae,Zingiberales,Liliopsida
apg_v14|col_v2025,plantae,Canopodaceae,Santalaceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Canotiaceae,Celastraceae,Celastrales,Magnoliopsida
apg_v14,plantae,Cansjeraceae,Opiliaceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Capparaceae,Capparaceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Caprariaceae,Scrophulariaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Caprifoliaceae,Caprifoliaceae,Dipsacales,Magnoliopsida
apg_v14|col_v2025,plantae,Cardiopteridaceae,Cardiopteridaceae,Aquifoliales,Magnoliopsida
apg_v14|col_v2025,plantae,Carduaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14|col_v2025,plantae,Caricaceae,Caricaceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Carissaceae,Apocynaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Carlemanniaceae,Carlemanniaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Carlinaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14,plantae,Carpinaceae,Betulaceae,Fagales,Magnoliopsida
apg_v14|col_v2025,plantae,Carpodetaceae,Rousseaceae,Asterales,Magnoliopsida
apg_v14,plantae,Cartonemataceae,Commelinaceae,Commelinales,Liliopsida
apg_v14|col_v2025,plantae,Caryocaraceae,Caryocaraceae,Malpighiales,Magnoliopsida
