seq,,collectionCode,institutionCode,collectionName,institutionName,scope,numberOfRecords,city,state,country,keywords_en
432,UESPIPHB_UESPI,UESPIPHB,UESPI,Subcoleção Ictiológica do Campus Parnaíba da UESPI,Universidade Estadual do Piauí,animais,723,Parnaíba,PI,Brasil,animals fishes vertebrates
434,UFBA-ARA_UFBA,UFBA-ARA,UFBA,Coleção Aracnológica do Museu de História Natural da Bahia - Araneae,Universidade Federal da Bahia,animais,2031,Salvador,BA,Brasil,animals arachnids terrestrial invertebrates
435,UFBA-ESC_UFBA,UFBA-ESC,UFBA,Coleção Aracnológica do Museu de História Natural da Universidade Federal da Bahia - Scorpiones,Universidade Federal da Bahia,animais,3398,Salvador,BA,Brasil,animals arachnids terrestrial invertebrates
436,UFES-CTA_UFES,UFES-CTA,UFES,Coleção de Tecidos Animais do Departamento de Ciências Biológicas da UFES,Universidade Federal do Espírito Santo,animais,4755,Vitória,ES,Brasil,animals tissues vertebrates
437,UFES-Entomologia_UFES,UFES-Entomologia,UFES,Coleção Entomológica da UFES,Universidade Federal do Espírito Santo,animais,163896,Vitória,ES,Brasil,animals insects terrestrial invertebrates
438,UFES-Entomologia-Amostras_UFES,UFES-Entomologia-Amostras,UFES,Coleção de Amostra de Insetos (via líquida),Universidade Federal do Espírito Santo,animais,2572,Vitória,ES,Brasil,animals insects terrestrial invertebrates
439,UFES-Malacologia_UFES,UFES-Malacologia,UFES,Coleção Malacológica da UFES,Universidade Federal do Espírito Santo,animais,4749,Vitória,ES,Brasil,animals aquatic invertebrates mollusca
440,UFES-MAM_UFES,UFES-MAM,UFES,Coleção de Mamíferos da Universidade Federal do Espírito Santo,Universidade Federal do Espírito Santo,animais,4912,Vitória,ES,Brasil,animals mammals vertebrates
442,UFMG-AMP_UFMG,UFMG-AMP,UFMG,Coleção de Anfíbios do Centro de Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,animais,18680,Belo Horizonte,MG,Brasil,animals reptiles and amphibians vertebrates
443,UFMG-ARA_UFMG,UFMG-ARA,UFMG,Coleção de Arachnida das Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,animais,15527,Belo Horizonte,MG,Brasil,animals arachnids terrestrial invertebrates
444,UFMG-BDT_UFMG,UFMG-BDT,UFMG,"Coleção de DNA, tecidos, células e subamostras biológicas do Centro de Coleções Taxonômicas da UFMG",Universidade Federal de Minas Gerais,animais,611,Belo Horizonte,MG,Brasil,animals vertebrates
446,UFMG-CRU_UFMG,UFMG-CRU,UFMG,Coleção de Crustacea das Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,animais,77,Belo Horizonte,MG,Brasil,animals terrestrial invertebrates
447,UFMG-GIR_UFMG,UFMG-GIR,UFMG,Coleção de Girinos do Centro de Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,animais,1976,Belo Horizonte,MG,Brasil,animals reptiles and amphibians vertebrates
448,UFMG-MYR_UFMG,UFMG-MYR,UFMG,Coleção de Myriapoda das Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,animais,347,Belo Horizonte,MG,Brasil,animals terrestrial invertebrates
449,UFMG-ONY_UFMG,UFMG-ONY,UFMG,Coleção de Onychophora das Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,animais,188,Belo Horizonte,MG,Brasil,animals terrestrial invertebrates
