order,source,status,country_code,state_code,county_code,code,NAME_0,NAME_1,NAME_2,NAME_3,NAME_4,loc,loc.correct,latitude.gazetteer,longitude.gazetteer,resolution.gazetteer,AtlanticForest_Lei11428,AreaAF.prop_Lei11428,leiMA.prop_novo_conferir,AtlanticForest_Biomas_MMA,biome,checagem,warning,loc.best
22368,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Le Moule,NA,NA,guadeloupe_pointe a pitre_le moule,guadeloupe_pointe a pitre_le moule,16.32024452,-61.37151234,county,NA,NA,NA,NA,NA,NA,NA,NA
22369,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Les Abymes,NA,NA,guadeloupe_pointe a pitre_les abymes,guadeloupe_pointe a pitre_les abymes,16.2730576,-61.50297659,county,NA,NA,NA,NA,NA,NA,NA,NA
22370,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Morne-à-L'eau,NA,NA,guadeloupe_pointe a pitre_morne a l'eau,guadeloupe_pointe a pitre_morne a l'eau,16.32413319,-61.47075232,county,NA,NA,NA,NA,NA,NA,NA,NA
22371,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Petit-Canal,NA,NA,guadeloupe_pointe a pitre_petit canal,guadeloupe_pointe a pitre_petit canal,16.38939316,-61.44977208,county,NA,NA,NA,NA,NA,NA,NA,NA
22372,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Pointe-à-Pitre,NA,NA,guadeloupe_pointe a pitre_pointe a pitre,guadeloupe_pointe a pitre_pointe a pitre,16.2369551,-61.53563292,county,NA,NA,NA,NA,NA,NA,NA,NA
22373,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Port-Louis,NA,NA,guadeloupe_pointe a pitre_port louis,guadeloupe_pointe a pitre_port louis,16.4262509,-61.49642564,county,NA,NA,NA,NA,NA,NA,NA,NA
22375,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Saint-François,NA,NA,guadeloupe_pointe a pitre_saint francois,guadeloupe_pointe a pitre_saint francois,16.27306772,-61.28063175,county,NA,NA,NA,NA,NA,NA,NA,NA
22376,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Saint-Louis,NA,NA,guadeloupe_pointe a pitre_saint louis,guadeloupe_pointe a pitre_saint louis,15.96634973,-61.27550582,county,NA,NA,NA,NA,NA,NA,NA,NA
22374,gadm,ok,GP,NA,NA,NA,Guadeloupe,Pointe-à-Pitre,Sainte-Anne,NA,NA,guadeloupe_pointe a pitre_sainte anne,guadeloupe_pointe a pitre_sainte anne,16.2571074,-61.38731864,county,NA,NA,NA,NA,NA,NA,NA,NA
22377,gadm,ok,GU,NA,NA,NA,Guam,NA,NA,NA,NA,guam,guam,13.44353664,144.7770383,country,NA,NA,NA,NA,NA,NA,NA,NA
22378,gadm,ok,GT,NA,NA,NA,Guatemala,NA,NA,NA,NA,guatemala,guatemala,15.69756576,-90.35465675,country,NA,NA,NA,NA,NA,NA,NA,NA
34425,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,NA,NA,NA,guatemala_alta verapaz,guatemala_alta verapaz,15.63553327,-90.13243637,state,NA,NA,NA,NA,NA,NA,NA,NA
8465,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Chahal,NA,NA,guatemala_alta verapaz_chahal,guatemala_alta verapaz_chahal,15.76263553,-89.57175067,county,NA,NA,NA,NA,NA,NA,NA,NA
8466,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Chisec,NA,NA,guatemala_alta verapaz_chisec,guatemala_alta verapaz_chisec,15.87855798,-90.27360715,county,NA,NA,NA,NA,NA,NA,NA,NA
8467,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Cobán,NA,NA,guatemala_alta verapaz_coban,guatemala_alta verapaz_coban,15.69862586,-90.56202121,county,NA,NA,NA,NA,NA,NA,NA,NA
8468,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Fray Bartolomé de las Casas,NA,NA,guatemala_alta verapaz_fray bartolome las casas,guatemala_alta verapaz_fray bartolome las casas,15.85007602,-89.76713178,county,NA,NA,NA,NA,NA,NA,NA,NA
8469,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Lanquín,NA,NA,guatemala_alta verapaz_lanquin,guatemala_alta verapaz_lanquin,15.57831237,-89.98400056,county,NA,NA,NA,NA,NA,NA,NA,NA
8470,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Panzós,NA,NA,guatemala_alta verapaz_panzos,guatemala_alta verapaz_panzos,15.2573148,-89.77543616,county,NA,NA,NA,NA,NA,NA,NA,NA
8471,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,San Cristóbal Verapaz,NA,NA,guatemala_alta verapaz_san cristobal verapaz,guatemala_alta verapaz_san cristobal verapaz,15.40213436,-90.56210433,county,NA,NA,NA,NA,NA,NA,NA,NA
8472,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,San Juan Chamelco,NA,NA,guatemala_alta verapaz_san juan chamelco,guatemala_alta verapaz_san juan chamelco,15.3875806,-90.24394354,county,NA,NA,NA,NA,NA,NA,NA,NA
8473,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,San Pedro Carchá,NA,NA,guatemala_alta verapaz_san pedro carcha,guatemala_alta verapaz_san pedro carcha,15.58593279,-90.16387078,county,NA,NA,NA,NA,NA,NA,NA,NA
8474,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Santa Cruz Verapaz,NA,NA,guatemala_alta verapaz_santa cruz verapaz,guatemala_alta verapaz_santa cruz verapaz,15.34446716,-90.41700844,county,NA,NA,NA,NA,NA,NA,NA,NA
8475,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Santa María Cahabón,NA,NA,guatemala_alta verapaz_santa maria cahabon,guatemala_alta verapaz_santa maria cahabon,15.61342935,-89.78692792,county,NA,NA,NA,NA,NA,NA,NA,NA
8476,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Senahú,NA,NA,guatemala_alta verapaz_senahu,guatemala_alta verapaz_senahu,15.42703726,-89.84066356,county,NA,NA,NA,NA,NA,NA,NA,NA
8477,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Tactic,NA,NA,guatemala_alta verapaz_tactic,guatemala_alta verapaz_tactic,15.29958573,-90.34687851,county,NA,NA,NA,NA,NA,NA,NA,NA
8478,gadm,ok,GT,NA,NA,NA,Guatemala,Alta Verapaz,Tamahú,NA,NA,guatemala_alta verapaz_tamahu,guatemala_alta verapaz_tamahu,15.30595021,-90.22764489,county,NA,NA,NA,NA,NA,NA,NA,NA
