"","name","decimallongitude","decimallatitude","city","country","address","source","type","geocoding.precision.m","geocoding.issue","geocoding.source","inside.ptoected.area.WDPAID","pais"
"184","Aldenham School, Biology Department",-0.32803,51.6635,"Elstree","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"185","Alderney Society and Museum",-2.20646,49.71396,"Alderney",NA,NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,NA
"186","Alderney Society and Museum",-2.20646,49.71396,"Alderney","GGY",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Guernsey"
"188","Alemaya University of Agriculture, Plant Sciences",NA,NA,"Dire Dawa","ETH","Alemaya","indexherbariorum","Herbarium",NA,NA,"VZ",NA,"Ethiopia"
"190","Alexander Herzen Pedagogical University, Faculty of Biology, Department of Botany",NA,NA,"Saint Petersburg","RUS",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"Russia"
"191","Alexander McGregor Memorial Museum",24.7648,-28.7418,NA,"ZAF",NA,"grbioorg","Museum",10,NA,"automatic",NA,"South Africa"
"192","Alexandru Ioan Cuza University, Faculty of Biology",27.5733,47.1758,"Iasi","ROU",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"Romania"
"193","Alfred-Wegener-Institut fur Polar- und Meeresforschung",8.5805,53.5377,"Bremerhaven","DEU","Diatoms: Am Handelshafen 12, 27570 Bremerhaven; Polar macroalgae: Am Handelshafen 12, 27570 Bremerhaven; Macroalgae of the southern North Sea: Biologische Anstalt Helgoland in der Stiftung Alfred-Wegener Institut fr Polar- und Meeresforschung, PO","indexherbariorum","Herbarium",1000,NA,"JA",NA,"Germany"
"198","Algonquin Provincial Parktural Resources Canada, Algonquin Visitor Centre",-78.6401,45.5502,"Whitney","CAN","Km 43, Highway 60","indexherbariorum","Herbarium",1000,NA,"VZ",4167,"Canada"
"200","Alice Springs Desert Park",133.83222,-23.70382,"Alice Springs","AUS",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Australia"
"204","All-Russian Research Institute of Medicinal and Aromatic Plants, Russian Academy of Agriculture",NA,NA,"Moscow","RUS",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"Russia"
"205","All-Russian Research Institute of Plant Protection",NA,NA,"Saint Petersburg","RUS",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"Russia"
"207","All Saint s Church, Museum of Natural History, Colchester Borough Council",NA,NA,"Colchester","GBR",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"United Kingdom"
"210","Alma College, Biology Department",-84.6699,43.379,"Alma","USA","614 Superior Street","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"211","Alma College, Biology Department",-84.66994,43.37901,"Alma","USA","614 Superior Street","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"212","Alnwick Botanical Society",-1.7009,55.4142,"Alnwick","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
