order,source,family,family.obs,full.name1,tdwg.name
7540,herbaria,Fabaceae?,NA,,"Sanchez, M.S."
7541,herbaria,Fabaceae?,NA,,"Santamaria, D."
7542,herbaria,Fabaceae?,NA,,"Santos, J.P."
7543,herbaria,Fabaceae?,NA,,"Silva, F.B."
7544,herbaria,Fabaceae,Mimosa,Juliana Santos Silva,"Silva, J.S."
7545,herbaria,Fabaceae?,NA,,"Silva, M."
7546,herbaria,Fabaceae,NA,Rosilene Rodrigues Silva,"Silva, R.R."
7547,herbaria,Fabaceae,NA,CHARLES H. STIRTON,"Stirton, C.H."
7548,herbaria,Fabaceae,NA,Benjamin M. Torke,"Torke, B.M."
7549,herbaria,Fabaceae?,NA,,"Turnbull, S."
7550,herbaria,Fabaceae?,NA,,"Vieira, M.G.G."
7551,herbaria,Fabaceae?,NA,Henk van der Werff,"Werff, H."
7552,herbaria,Floristics/Generalist (all families),NA,Nelson A. Zamora Villalobos,"Zamora Villalobos, Nelson A."
7553,herbaria,Fabaceae,NA,Rodrigo Augusto Camargo,"Camargo, R."
7554,herbaria,Fabaceae/Mimosoideae?,NA,Luís Rios de Moura Baptista,"Baptista, L.R.M."
7555,herbaria,Fabaceae-Caesalpinioideae?,NA,,"Silva, C.A.S."
7556,herbaria,Floristics/Generalist (all families),NA,Luiz Wilson Lima-Verde,"Lima-Verde, L.W."
7557,herbaria,Fagaceae?,NA,,"Flores M., A. "
7558,herbaria,Fagaceae?,NA,,"Avalos, S.V."
7559,herbaria,Fagaceae?,NA,,C.H.Mull.
7560,herbaria,Fagaceae?,NA,,"Diaz-Barriga, H."
7561,herbaria,Fagaceae?,NA,,"Espinosa, J."
7562,herbaria,Fagaceae?,NA,,"Gonzalez, L.M."
7563,herbaria,Fagaceae?,NA,,"Gonzalez, S."
7564,herbaria,Fagaceae?,NA,,"Gonzalez-Villarreal, L.M."
7565,herbaria,Fagaceae?,NA,,J. Becerra Z.
7566,herbaria,Fagaceae?,NA,,J. ESPINOSA G.
7567,herbaria,Fagaceae?,NA,,"K.C. Nixon, Jan"
7568,herbaria,Fagaceae?,NA,,L. Aguilar E.
7569,herbaria,Fagaceae?,NA,,L. Vazquez V.
7570,herbaria,Fagaceae?,NA,,L.M. Gonzalez V.
7571,herbaria,Fagaceae?,NA,,M.L. Aguilar E.
7572,herbaria,Fagaceae?,NA,,"Marchena, F.R."
7573,herbaria,Fagaceae?,NA,,"Martinez, M."
7574,herbaria,Fagaceae?,NA,,"Muller, C.H."
7575,herbaria,Fagaceae?,NA,,"Romero, S."
7576,herbaria,Fagaceae?,NA,,S. Valencia A.
7577,herbaria,Floristics/Generalist (all families),NA,Sergio Zamudio Ruiz,S. Zamudio R.
7578,herbaria,Fagaceae?,NA,,Utherbarium
7579,herbaria,Fagaceae?,NA,,"Valencia, S."
7580,herbaria,Fagaceae?,NA,,"Valencia-Avalos, S."
7581,herbaria,Fagaceae?,NA,,"Villagran, L.V."
7582,herbaria,Salicaceae,NA,Ronaldo Marquete,"Marquete, R."
7583,herbaria,Salicaceae?,NA,,"Santos, T.S."
7584,herbaria,Salicaceae,NA,Roseli B. Torres,"Torres, R.B."
7585,herbaria,Fouquieriaceae?,NA,,"Lemos, R.M."
7586,herbaria,Garryaceae?,NA,Eleazar Carranza Gonçales,E. Carranza G.
7587,herbaria,Garryaceae?,NA,Eleazar Carranza Gonçales,"Gonzalez, E.C."
7588,herbaria,Gentianaceae,NA,Katherine Burke Lepis,"Lepis, K.B."
7589,herbaria,Gentianaceae?,NA,,"Suarez, S."
7590,herbaria,Gesneriaceae,NA,Laura Clavijo,"Clavijo, L."
7591,herbaria,Gesneriaceae?,NA,,"Clavijo-R., L."
7592,herbaria,Gesneriaceae,NA,Lars Peter Kvist ,"Kvist, L.P."
7593,herbaria,Gleicheniaceae,NA,Lucas Vieira Lima,"Lima, L.V."
7594,herbaria,Gleicheniaceae,NA,Alexander Fco. Rojas - Alvarado,"Rojas, A."
7595,herbaria,Gleicheniaceae,NA,Alexander Fco. Rojas - Alvarado,"Rojas-Alvarado, A.F."
7596,herbaria,Guttiferae,NA,Lucas Cardoso Marinho,"Marinho, L.C."
7597,herbaria,Heliotropiaceae,NA,James Spencer Miller,"Miller, J.S."
7598,herbaria,Heliotropiaceae?,NA,,"Rios, G.C."
7599,herbaria,Hernandiaceae?,NA,,"Florence, J."
7600,herbaria,Hernandiaceae?,NA,Ariane Luna Peixoto,"Peixoto, A.L."
7601,herbaria,Hernandiaceae?,NA,,"Sykes, W.R."
7602,herbaria,Hernandiaceae?,NA,,"Telford, I.R."
7603,herbaria,Hernandiaceae?,NA,,"Van, P.A."
7604,herbaria,Hernandiaceae?,NA,,"Zich, F."
7605,herbaria,Humiriaceae,NA,José Cuatrecasas,"Cuatrecasas, J."
7606,herbaria,Humiriaceae?,NA,Maria Lucia Kawasaki,"Kawasaki, M.L."
7607,herbaria,Humiriaceae?,NA,,"Liuth, H."
7608,herbaria,Humiriaceae?,NA,,"Nascimento, W."
7609,herbaria,Floristics/Generalist (all families),NA,Ghillean T. Prance,"Prance, G.T."
7610,herbaria,Floristics/Generalist (all families),NA,Lúcia Rossi,"Rossi, L."
7611,herbaria,Hydrangeaceae?,NA,,"Chiang, H."
7612,herbaria,Hydrangeaceae?,NA,,"Lai, H."
7613,herbaria,Hydrangeaceae?,NA,,"Mcclintock, E."
7614,herbaria,Hypericaceae,NA,Volker Bittrich,"Bittrich, V."
7615,herbaria,Hypericaceae?,NA,,"Ewan, J.A."
7616,herbaria,Hypericaceae,NA,Barry E. Hammel,"Hammel, B.E."
7617,herbaria,Hypericaceae,NA,Lucas Cardoso Marinho,"Marinho, L.C."
7618,herbaria,Hypericaceae,NA,Milena Ventrichi Martins,"Martins, M.V."
7619,herbaria,Icacinaceae,NA,Bruno Sampaio Amorim,"Amorim, B.S."
7620,herbaria,Icacinaceae?,NA,,"Brito, J.M."
7621,herbaria,Icacinaceae,NA,Rodrigo Duno de Stefano,"Duno, R."
7622,herbaria,Icacinaceae,NA,Fiorella Fernanda Mazine-Capelo,"Mazine-Capelo, F.F."
7623,herbaria,Juglandaceae?,NA,,"Jercinovic, E.M."
7624,herbaria,Juglandaceae?,NA,,"Stephens, S."
7625,herbaria,Lacistemataceae,NA,Ronaldo Marquete,"Marquete, R."
7626,herbaria,Lamiaceae,Aegiphila,Flávio França,"Franca, F."
7627,herbaria,Lamiaceae,NA,Harold Norman Moldenke,"Moldenke, H.N."
7628,herbaria,Lamiaceae,NA,Amy Pool,"Pool, A."
7629,herbaria,Lamiaceae,NA,Amy Pool,Pool
7630,herbaria,Lamiaceae?,NA,,"Rueda, R."
7631,herbaria,Lauraceae,NA,Tiago Domingos Mouzinho Barbosa,"Barbosa, T.D.M."
7632,aspt,Moraceae,NA,William Carl Burger,"Burger, W.C."
7633,herbaria,Olacaceae,NA,Gerdt Guenther Hatschbach,Hatschbach
7634,herbaria,Lauraceae,NA,Francisco G. Lorea-Hernández,"Lorea, F.G."
