order,collection.string,collectioncode.gbif,institutioncode.gbif,name,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,OBS
4323,UAMH_NA,UAMH,NA,NA,NA,UAMH,UAMH Centre for Global Microfungal Biodiversity,NA,NA,Microfungus Collection and Herbarium,
4324,UAPC_NA,UAPC,NA,NA,NA,UAPC,University of Alberta,NA,Department of Biological Sciences,Paleobotanical Collections,
4325,UARK_NA,UARK,NA,NA,NA,UARK,University of Arkansas,NA,NA,Herbarium,
4326,UASB_NA,UASB,NA,NA,NA,UASB,University of Agricultural Sciences,Botanical Garden,NA,Herbarium,
4327,UBA_NA,UBA,NA,NA,NA,UBA,Mongolian Academy of Sciences,Institute of Botany,Department of Plant Systematics and Flora,Herbarium,
4328,UBDH_NA,UBDH,NA,NA,NA,UBDH,Universiti Brunei Darussalam,NA,NA,Herbarium,
4329,UBT_NA,UBT,NA,NA,NA,UBT,University of Bayreuth,NA,Oekologisch-Botanischer Garten,Herbarium,
4330,UBU_NA,UBU,NA,NA,NA,UBU,National University of Mongolia,School of Arts and Sciences,Department of Biology,Herbarium of the National University of Mongolia (UBU),
4331,UCAC_NA,UCAC,NA,NA,NA,UCAC,University of Central Arkansas,NA,Department of Biology,Herbarium,
4332,UCBG_NA,UCBG,NA,NA,NA,UCBG,University of Botswana,NA,Biological Sciences,University of Botswana Herbarium,
4333,UCH_NA,UCH,NA,NA,NA,UCH,Universidad Autónoma de Chiriquí,NA,NA,Herbario,
4334,UCHT_NA,UCHT,NA,NA,NA,UCHT,"University of Tennessee, Chattanooga",NA,Department of Biological and Environmental Sciences,Herbarium,
4335,UCI_NA,UCI,NA,NA,NA,UCI,University of Ibadan,NA,Botany and Microbiology Department,Herbarium,
4336,UCMM_NA,UCMM,NA,NA,NA,UCMM,Pontificia Universidad Católica Madre y Maestra,NA,NA,Herbario Rafael M. Moscoso,
4337,UCNW_NA,UCNW,NA,NA,NA,UCNW,University of Wales,School of Biological Sciences,NA,Herbarium,
4338,UCOB_NA,UCOB,NA,NA,NA,UCOB,Universidad Centroccidental Lisandro Alvarado,Decanato de Ingeniería Agronómica,Departamento de Ciencias Biológicas,José Antonio Casadiego Herbarium,
4339,UCSA_NA,UCSA,NA,NA,NA,UCSA,University College of Swansea,NA,Botany Department,Herbarium,
4340,UCSW_NA,UCSW,NA,NA,NA,UCSW,University College,NA,Botany Department,Herbarium,
4341,UCWI_NA,UCWI,NA,NA,NA,UCWI,"University of the West Indies, Mona",NA,Department of Life Sciences,"UWI Herbarium, Mona",
4342,UDM_NA,UDM,NA,NA,NA,UDM,Museo Friulano di Storia Naturale,Sezione di Botanica,NA,Erbario,
